Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU FPS,GPU Kernels,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
2,2,Knuth,CPU,11,2,3,6.895e-06,0.00172375,17,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-05 17:58:10 -0800,6bacb03,master
2,2,Knuth,CPU,12,2,3,1.733e-06,0.00043325,17,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,2020-12-05 17:58:10 -0800,6bacb03,master
2,2,Most Parts,CPU,11,2,3,1.642e-06,0.0004105,17,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-05 17:58:10 -0800,6bacb03,master
2,2,Most Parts,CPU,12,2,3,1.555e-06,0.00038875,17,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,2020-12-05 17:58:10 -0800,6bacb03,master
2,2,Entropy,CPU,11,2,3,4.111e-06,0.00102775,17,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-05 17:58:10 -0800,6bacb03,master
2,2,Entropy,CPU,12,2,3,1.509e-06,0.00037725,17,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,2020-12-05 17:58:10 -0800,6bacb03,master
2,2,Expected Size,CPU,11,2,3,1.346e-06,0.0003365,17,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-05 17:58:10 -0800,6bacb03,master
2,2,Expected Size,CPU,12,2,3,1.443e-06,0.00036075,17,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,2020-12-05 17:58:10 -0800,6bacb03,master
2,2,First One,,11,2,3,1.979e-06,0.00049475,17,,,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-05 17:58:10 -0800,6bacb03,master
2,2,First One,,12,2,3,1.457e-06,0.00036425,17,,,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,2020-12-05 17:58:10 -0800,6bacb03,master
