Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU FPS,GPU Kernels,GPU Name,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
4,2,Knuth,Both,1111,3.4375,5,2.4162e-05,0.00151013,565,0,0,AMD Radeon Pro 5500M,0,0,1,1,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112,16,2020-12-05 17:58:10 -0800,6bacb03,master
4,2,Knuth,Both,1112,2.75,4,8.878e-06,0.000554875,412,0,0,AMD Radeon Pro 5500M,0,0,1,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111,16,2020-12-05 17:58:10 -0800,6bacb03,master
4,2,Knuth,Both,1122,2.75,4,7.946e-06,0.000496625,392,0,0,AMD Radeon Pro 5500M,0,0,1,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112,16,2020-12-05 17:58:10 -0800,6bacb03,master
4,2,Most Parts,Both,1111,3.25,5,1.0195e-05,0.000637188,639,0,0,AMD Radeon Pro 5500M,0,0,1,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111,16,2020-12-05 17:58:10 -0800,6bacb03,master
4,2,Most Parts,Both,1112,2.75,4,8.633e-06,0.000539562,412,0,0,AMD Radeon Pro 5500M,0,0,1,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111,16,2020-12-05 17:58:10 -0800,6bacb03,master
4,2,Most Parts,Both,1122,2.75,4,9.814e-06,0.000613375,392,0,0,AMD Radeon Pro 5500M,0,0,1,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112,16,2020-12-05 17:58:10 -0800,6bacb03,master
4,2,Entropy,Both,1111,3.25,5,2.5649e-05,0.00160306,529,0,0,AMD Radeon Pro 5500M,0,0,1,2,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112,16,2020-12-05 17:58:10 -0800,6bacb03,master
4,2,Entropy,Both,1112,2.75,4,1.4455e-05,0.000903437,412,0,0,AMD Radeon Pro 5500M,0,0,1,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111,16,2020-12-05 17:58:10 -0800,6bacb03,master
4,2,Entropy,Both,1122,2.75,4,1.1481e-05,0.000717563,392,0,0,AMD Radeon Pro 5500M,0,0,1,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112,16,2020-12-05 17:58:10 -0800,6bacb03,master
4,2,Expected Size,Both,1111,3.25,5,1.2124e-05,0.00075775,529,0,0,AMD Radeon Pro 5500M,0,0,1,2,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112,16,2020-12-05 17:58:10 -0800,6bacb03,master
