Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU FPS,GPU Kernels,GPU Name,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
7,2,Knuth,Both,1111112,4.42188,6,0.000470676,0.00367716,47324,0,0,AMD Radeon Pro 5500M,0,0,1,8,19,32,44,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222211,128,2020-12-05 17:58:10 -0800,6bacb03,master
7,2,Knuth,Both,1111122,4.05469,6,0.000234018,0.00182827,36756,0,0,AMD Radeon Pro 5500M,0,0,1,11,24,42,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222121,128,2020-12-05 17:58:10 -0800,6bacb03,master
7,2,Knuth,Both,1111222,4,6,0.000187611,0.00146571,35423,0,0,AMD Radeon Pro 5500M,0,0,1,9,30,42,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112211,128,2020-12-05 17:58:10 -0800,6bacb03,master
7,2,Most Parts,Both,1111112,4.42188,7,0.000343101,0.00268048,49491,0,0,AMD Radeon Pro 5500M,0,0,1,12,19,28,40,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111111,128,2020-12-05 17:58:10 -0800,6bacb03,master
7,2,Most Parts,Both,1111122,3.99219,6,0.00019456,0.00152,37033,0,0,AMD Radeon Pro 5500M,0,0,1,13,28,36,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111112,128,2020-12-05 17:58:10 -0800,6bacb03,master
7,2,Most Parts,Both,1111222,3.95312,6,0.000192959,0.00150749,37498,0,0,AMD Radeon Pro 5500M,0,0,1,10,35,38,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111112,128,2020-12-05 17:58:10 -0800,6bacb03,master
7,2,Entropy,Both,1111112,4.39062,6,0.000570027,0.00445334,42176,0,0,AMD Radeon Pro 5500M,0,0,1,4,19,40,48,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111121,128,2020-12-05 17:58:10 -0800,6bacb03,master
7,2,Entropy,Both,1111122,4.03906,6,0.000480128,0.003751,35242,0,0,AMD Radeon Pro 5500M,0,0,1,5,30,46,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211221,128,2020-12-05 17:58:10 -0800,6bacb03,master
7,2,Entropy,Both,1111222,3.94531,6,0.000431666,0.00337239,32778,0,0,AMD Radeon Pro 5500M,0,0,1,5,34,50,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221121,128,2020-12-05 17:58:10 -0800,6bacb03,master
7,2,Expected Size,Both,1111112,4.32812,6,0.000694709,0.00542741,45256,0,0,AMD Radeon Pro 5500M,0,0,1,4,27,32,48,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111121,128,2020-12-05 17:58:10 -0800,6bacb03,master
7,2,Expected Size,Both,1111122,3.99219,6,0.000475028,0.00371116,35189,0,0,AMD Radeon Pro 5500M,0,0,1,9,28,44,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2111221,128,2020-12-05 17:58:10 -0800,6bacb03,master
7,2,Expected Size,Both,1111222,3.9375,6,0.000390324,0.00304941,32765,0,0,AMD Radeon Pro 5500M,0,0,1,6,33,50,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211112,128,2020-12-05 17:58:10 -0800,6bacb03,master
7,3,Knuth,Both,1111112,4.72611,6,0.0690874,0.03159,141969,8510.96,588,AMD Radeon Pro 5500M,12380607,0,1,5,53,535,1532,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213232,2187,2020-12-05 17:58:10 -0800,6bacb03,master
7,3,Knuth,Both,1111122,4.32785,6,0.047561,0.0217471,146273,8178.98,389,AMD Radeon Pro 5500M,9764955,0,1,10,153,1134,885,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332133,2187,2020-12-05 17:58:10 -0800,6bacb03,master
7,3,Knuth,Both,1111123,4.34019,6,0.0492569,0.0225226,143293,8364.32,412,AMD Radeon Pro 5500M,9902736,0,1,10,143,1129,898,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332122,2187,2020-12-05 17:58:10 -0800,6bacb03,master
7,3,Knuth,Both,1111222,4.2396,5,0.0406715,0.0185969,156450,8113.8,330,AMD Radeon Pro 5500M,9242262,0,1,5,198,1248,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112131,2187,2020-12-05 17:58:10 -0800,6bacb03,master
7,3,Knuth,Both,1111223,4.17284,5,0.0390717,0.0178654,153107,8062.11,315,AMD Radeon Pro 5500M,9060741,0,1,9,211,1356,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112331,2187,2020-12-05 17:58:10 -0800,6bacb03,master
7,3,Knuth,Both,1112223,4.15409,5,0.0362687,0.0165838,160667,7940.73,288,AMD Radeon Pro 5500M,8955765,0,1,8,239,1344,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113211,2187,2020-12-05 17:58:10 -0800,6bacb03,master
7,3,Knuth,Both,1112233,4.13672,5,0.0272885,0.0124776,152459,7292.44,199,AMD Radeon Pro 5500M,8393706,0,1,5,287,1295,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122121,2187,2020-12-05 17:58:10 -0800,6bacb03,master
7,3,Most Parts,Both,1111112,4.42524,6,0.0454373,0.0207761,146083,8011.03,364,AMD Radeon Pro 5500M,10460421,0,1,3,139,1012,986,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311213,2187,2020-12-05 17:58:10 -0800,6bacb03,master
7,3,Most Parts,Both,1111122,4.18244,6,0.0427186,0.019533,150850,8544.29,365,AMD Radeon Pro 5500M,9487206,0,1,8,214,1336,624,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332212,2187,2020-12-05 17:58:10 -0800,6bacb03,master
7,3,Most Parts,Both,1111123,4.15866,6,0.0413682,0.0189155,149492,8605.65,356,AMD Radeon Pro 5500M,9452214,0,1,10,243,1327,599,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3121132,2187,2020-12-05 17:58:10 -0800,6bacb03,master
7,3,Most Parts,Both,1111222,4.08322,6,0.0331965,0.015179,160695,8464.75,281,AMD Radeon Pro 5500M,8824545,0,1,8,286,1407,483,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321312,2187,2020-12-05 17:58:10 -0800,6bacb03,master
7,3,Most Parts,Both,1111223,4.02103,6,0.0303534,0.013879,158319,8137.48,247,AMD Radeon Pro 5500M,8428698,0,1,12,351,1400,422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3313212,2187,2020-12-05 17:58:10 -0800,6bacb03,master
