Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU FPS,GPU Kernels,GPU Name,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
8,2,Knuth,Both,11111112,4.92188,7,0.00470333,0.0183724,118401,2551.38,12,AMD Radeon Pro 5500M,75776,0,1,10,21,44,88,84,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21122111,256,2020-12-06 16:39:08 -0800,9f2053f,master
8,2,Knuth,Both,11111122,4.58203,6,0.00259303,0.010129,133027,3085.19,8,AMD Radeon Pro 5500M,49664,0,1,11,27,68,97,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11221112,256,2020-12-06 16:39:08 -0800,9f2053f,master
8,2,Knuth,Both,11111222,4.39844,6,0.00147767,0.00577214,118756,2706.97,4,AMD Radeon Pro 5500M,38400,0,1,7,38,76,111,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11212121,256,2020-12-06 16:39:08 -0800,9f2053f,master
8,2,Knuth,Both,11112222,4.5625,6,0.00223781,0.00874144,129143,2681.2,6,AMD Radeon Pro 5500M,50176,0,1,2,43,64,98,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11212112,256,2020-12-06 16:39:08 -0800,9f2053f,master
8,2,Most Parts,Both,11111112,4.98438,8,0.0026547,0.0103699,142870,4520.28,12,AMD Radeon Pro 5500M,75776,0,1,14,25,44,64,84,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111111,256,2020-12-06 16:39:08 -0800,9f2053f,master
8,2,Most Parts,Both,11111122,4.52734,7,0.00206277,0.0080577,145894,3393.49,7,AMD Radeon Pro 5500M,46080,0,1,16,38,58,84,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111112,256,2020-12-06 16:39:08 -0800,9f2053f,master
8,2,Most Parts,Both,11111222,4.41406,7,0.00159011,0.00621138,130947,2515.54,4,AMD Radeon Pro 5500M,38400,0,1,15,44,66,80,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111122,256,2020-12-06 16:39:08 -0800,9f2053f,master
8,2,Most Parts,Both,11112222,4.38672,6,0.00183045,0.00715021,110271,3824.19,7,AMD Radeon Pro 5500M,54784,0,1,8,52,63,94,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11122211,256,2020-12-06 16:39:08 -0800,9f2053f,master
8,2,Entropy,Both,11111112,4.875,7,0.00422512,0.0165044,114257,2840.15,12,AMD Radeon Pro 5500M,75776,0,1,6,17,56,100,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21221211,256,2020-12-06 16:39:08 -0800,9f2053f,master
8,2,Entropy,Both,11111122,4.48047,6,0.00352154,0.013756,119567,1987.77,7,AMD Radeon Pro 5500M,46080,0,1,6,32,80,104,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111211,256,2020-12-06 16:39:08 -0800,9f2053f,master
