Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
8,2,First One,,22221111,4.54688,8,0.000258585,0.0010101,13039,0,0,1,14,40,62,86,37,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21121212,256,2020-12-06 17:35:57 -0800,9b3fd34,master
8,2,First One,,22222111,4.48438,7,0.000178873,0.000698723,14926,0,0,1,17,40,66,75,45,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12211112,256,2020-12-06 17:35:57 -0800,9b3fd34,master
8,2,First One,,22222211,4.67188,8,0.000170789,0.000667145,16245,0,0,1,17,36,53,75,55,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111112,256,2020-12-06 17:35:57 -0800,9b3fd34,master
8,2,First One,,22222221,5.05469,8,0.000180185,0.000703848,17943,0,0,1,14,25,44,66,70,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111111,256,2020-12-06 17:35:57 -0800,9b3fd34,master
8,2,First One,,22222222,5.58594,9,0.000175878,0.000687023,15603,0,0,1,8,16,32,57,73,44,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111111,256,2020-12-06 17:35:57 -0800,9b3fd34,master
8,3,First One,,33322211,4.82838,9,0.0109293,0.0016658,615286,0,0,1,37,495,1766,2765,1277,196,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23113212,6561,2020-12-06 17:35:57 -0800,9b3fd34,master
8,3,First One,,33332211,4.84789,9,0.00989647,0.00150838,613507,0,0,1,37,536,1784,2574,1318,281,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21113213,6561,2020-12-06 17:35:57 -0800,9b3fd34,master
8,3,First One,,33332221,4.8232,9,0.0105559,0.00160888,645337,0,0,1,41,547,1729,2673,1370,181,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33111331,6561,2020-12-06 17:35:57 -0800,9b3fd34,master
8,3,First One,,33332222,4.93781,9,0.00552754,0.000842485,638361,0,0,1,40,478,1593,2631,1440,319,49,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13211213,6561,2020-12-06 17:35:57 -0800,9b3fd34,master
8,3,First One,,33333221,4.88554,8,0.00544064,0.000829239,610424,0,0,1,38,549,1667,2529,1458,283,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111121,6561,2020-12-06 17:35:57 -0800,9b3fd34,master
8,3,First One,,33333222,4.89849,8,0.00545523,0.000831463,627214,0,0,1,38,481,1654,2685,1372,294,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12211113,6561,2020-12-06 17:35:57 -0800,9b3fd34,master
8,3,First One,,33333321,5.06615,9,0.00519832,0.000792306,588238,0,0,1,31,492,1349,2434,1702,498,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111112,6561,2020-12-06 17:35:57 -0800,9b3fd34,master
8,3,First One,,33333322,5.02408,9,0.00519955,0.000792493,589431,0,0,1,32,453,1420,2561,1653,394,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111113,6561,2020-12-06 17:35:57 -0800,9b3fd34,master
8,3,First One,,33333332,5.37784,9,0.0049464,0.000753909,551138,0,0,1,22,325,931,2145,2301,694,127,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111111,6561,2020-12-06 17:35:57 -0800,9b3fd34,master
8,3,First One,,33333333,5.91343,10,0.00514182,0.000783695,530623,0,0,1,8,150,488,1500,2551,1431,342,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111111,6561,2020-12-06 17:35:57 -0800,9b3fd34,master
8,4,First One,,44332211,5.52997,9,0.211072,0.00322071,7773781,0,0,1,37,681,6753,23550,26739,7153,571,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11311142,65536,2020-12-06 17:35:57 -0800,9b3fd34,master
8,4,First One,,44433221,5.45528,9,0.177505,0.00270852,7979691,0,0,1,41,831,7706,24556,25860,6158,376,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111142,65536,2020-12-06 17:35:57 -0800,9b3fd34,master
8,4,First One,,44433321,5.43927,10,0.263987,0.00402812,8002464,0,0,1,41,887,8257,24616,24998,6286,428,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111132,65536,2020-12-06 17:35:57 -0800,9b3fd34,master
8,4,First One,,44433322,5.43953,9,0.141874,0.00216483,8296702,0,0,1,43,927,8644,24112,24663,6684,443,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111111,65536,2020-12-06 17:35:57 -0800,9b3fd34,master
8,4,First One,,44443321,5.49992,10,0.183891,0.00280595,7994592,0,0,1,41,874,7679,23369,25441,7543,563,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111132,65536,2020-12-06 17:35:57 -0800,9b3fd34,master
8,4,First One,,44443322,5.49982,10,0.130101,0.00198518,8211924,0,0,1,43,901,7781,23302,25222,7647,601,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31114122,65536,2020-12-06 17:35:57 -0800,9b3fd34,master
8,4,First One,,44443332,5.49324,9,0.135201,0.00206301,8171276,0,0,1,43,947,8092,22959,25235,7609,609,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111111,65536,2020-12-06 17:35:57 -0800,9b3fd34,master
8,4,First One,,44443333,5.63728,10,0.0947782,0.0014462,7905344,0,0,1,40,893,7023,20333,25550,10127,1393,165,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21111111,65536,2020-12-06 17:35:57 -0800,9b3fd34,master
8,4,First One,,44444321,5.61673,10,0.112906,0.00172281,7765277,0,0,1,38,763,7091,20773,25776,9974,1053,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34132233,65536,2020-12-06 17:35:57 -0800,9b3fd34,master
