Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU FPS,GPU Kernels,GPU Name,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
6,9,Knuth,Both,111222,6.53528,9,179.209,0.337213,63490488,236.629,42406,AMD Radeon Pro 5500M,1169288179902,0,1,13,89,1790,30851,206170,265842,26672,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483695,531441,2020-12-06 23:54:14 -0800,e608107,master
6,9,Most Parts,Both,111222,6.50728,9,184.411,0.347002,68726719,240.094,44276,AMD Radeon Pro 5500M,1184064896907,0,1,16,213,2714,30874,223722,241766,31572,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126983,531441,2020-12-06 23:54:14 -0800,e608107,master
6,9,Entropy,Both,111222,6.40112,9,176.228,0.331604,66496453,218.813,38561,AMD Radeon Pro 5500M,1140411801726,0,1,12,133,2115,37368,251230,225973,14579,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347651,531441,2020-12-06 23:54:14 -0800,e608107,master
6,9,Expected Size,Both,111222,6.7052,10,189.409,0.356407,63705500,215.369,40793,AMD Radeon Pro 5500M,1225938196179,0,1,12,120,1570,27235,172447,259714,65200,5123,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573648,531441,2020-12-06 23:54:14 -0800,e608107,master
6,9,First One,,987654,6.8487,12,1.18744,0.00223438,65761826,,,,0,0,1,26,374,4326,33467,140106,229746,106917,15154,1279,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711465,531441,2020-12-06 23:54:14 -0800,e608107,master
6,10,Knuth,Both,111222,6.89394,9,577.742,0.577743,125043438,144.307,83372,AMD Radeon Pro 5500M,4506407000000,0,1,10,81,1571,25570,229525,565319,176147,1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196a14,1000000,2020-12-06 23:54:14 -0800,e608107,master
6,10,Most Parts,Both,111222,6.89307,10,598.857,0.598857,137985736,152.392,91261,AMD Radeon Pro 5500M,4587142000000,0,1,16,213,2718,25272,232348,562030,169788,7573,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386a54,1000000,2020-12-06 23:54:14 -0800,e608107,master
6,10,Entropy,Both,111222,6.77643,9,560.487,0.560487,131505523,134.149,75189,AMD Radeon Pro 5500M,4420437000000,0,1,10,130,1864,30370,283503,559062,123276,1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139386,1000000,2020-12-06 23:54:14 -0800,e608107,master
6,10,Expected Size,Both,111222,6.83179,10,563.521,0.563522,127864192,134.243,75649,AMD Radeon Pro 5500M,4466799000000,0,1,9,113,1435,25509,254769,579302,135339,3519,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5473a6,1000000,2020-12-06 23:54:14 -0800,e608107,master
6,10,First One,,a98765,7.25801,12,2.52519,0.00252519,131598067,,,,0,0,1,26,374,4326,34590,168626,386181,313895,80370,10684,892,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2a587a,1000000,2020-12-06 23:54:14 -0800,e608107,master
