Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU FPS,GPU Kernels,GPU Name,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
2,2,Knuth,Both,12,2,3,2.6796e-05,0.006699,17,0,0,Intel HD Graphics 4000,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,2020-12-05 01:08:05 -0800,31da479,master
2,2,Most Parts,Both,12,2,3,6.417e-06,0.00160425,17,0,0,Intel HD Graphics 4000,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,2020-12-05 01:08:05 -0800,31da479,master
2,2,Entropy,Both,12,2,3,6.603e-06,0.00165075,17,0,0,Intel HD Graphics 4000,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,2020-12-05 01:08:05 -0800,31da479,master
2,2,Expected Size,Both,12,2,3,3.379e-06,0.00084475,17,0,0,Intel HD Graphics 4000,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,2020-12-05 01:08:05 -0800,31da479,master
2,2,First One,,12,2,3,3.068e-06,0.000767,17,,,,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,2020-12-05 01:08:05 -0800,31da479,master
2,3,Knuth,Both,12,2.33333,3,8.192e-06,0.000910222,78,0,0,Intel HD Graphics 4000,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-05 01:08:05 -0800,31da479,master
2,3,Most Parts,Both,12,2.33333,3,1.0061e-05,0.00111789,78,0,0,Intel HD Graphics 4000,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-05 01:08:05 -0800,31da479,master
2,3,Entropy,Both,12,2.33333,3,8.189e-06,0.000909889,78,0,0,Intel HD Graphics 4000,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-05 01:08:05 -0800,31da479,master
2,3,Expected Size,Both,12,2.33333,3,5.965e-06,0.000662778,78,0,0,Intel HD Graphics 4000,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-05 01:08:05 -0800,31da479,master
2,3,First One,,12,2.33333,3,6.223e-06,0.000691444,78,,,,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-05 01:08:05 -0800,31da479,master
2,4,Knuth,Both,12,2.8125,4,1.3906e-05,0.000869125,330,0,0,Intel HD Graphics 4000,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2020-12-05 01:08:05 -0800,31da479,master
