Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU FPS,GPU Kernels,GPU Name,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
2,2,Knuth,CPU,11,2,3,6.11e-06,0.0015275,17,0,0,,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-06 17:35:57 -0800,9b3fd34,master
2,2,Knuth,Both,11,2,3,1.338e-06,0.0003345,17,0,0,AMD Radeon Pro 5500M,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-06 17:35:57 -0800,9b3fd34,master
2,2,Most Parts,CPU,11,2,3,1.285e-06,0.00032125,17,0,0,,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-06 17:35:57 -0800,9b3fd34,master
2,2,Most Parts,Both,11,2,3,1.278e-06,0.0003195,17,0,0,AMD Radeon Pro 5500M,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-06 17:35:57 -0800,9b3fd34,master
2,2,Entropy,CPU,11,2,3,1.36e-06,0.00034,17,0,0,,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-06 17:35:57 -0800,9b3fd34,master
2,2,Entropy,Both,11,2,3,1.348e-06,0.000337,17,0,0,AMD Radeon Pro 5500M,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-06 17:35:57 -0800,9b3fd34,master
2,2,Expected Size,CPU,11,2,3,1.301e-06,0.00032525,17,0,0,,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-06 17:35:57 -0800,9b3fd34,master
2,2,Expected Size,Both,11,2,3,1.292e-06,0.000323,17,0,0,AMD Radeon Pro 5500M,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-06 17:35:57 -0800,9b3fd34,master
2,2,First One,,11,2,3,1.276e-06,0.000319,17,,,,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-06 17:35:57 -0800,9b3fd34,master
2,2,First One,,11,2,3,1.229e-06,0.00030725,17,,,,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2020-12-06 17:35:57 -0800,9b3fd34,master
2,3,Knuth,CPU,12,2.33333,3,4.751e-06,0.000527889,78,0,0,,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-06 17:35:57 -0800,9b3fd34,master
2,3,Knuth,Both,12,2.33333,3,3.526e-06,0.000391778,78,0,0,AMD Radeon Pro 5500M,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-06 17:35:57 -0800,9b3fd34,master
2,3,Most Parts,CPU,12,2.33333,3,5.687e-06,0.000631889,78,0,0,,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-06 17:35:57 -0800,9b3fd34,master
2,3,Most Parts,Both,12,2.33333,3,3.674e-06,0.000408222,78,0,0,AMD Radeon Pro 5500M,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-06 17:35:57 -0800,9b3fd34,master
2,3,Entropy,CPU,12,2.33333,3,3.527e-06,0.000391889,78,0,0,,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-06 17:35:57 -0800,9b3fd34,master
2,3,Entropy,Both,12,2.33333,3,3.659e-06,0.000406556,78,0,0,AMD Radeon Pro 5500M,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-06 17:35:57 -0800,9b3fd34,master
2,3,Expected Size,CPU,12,2.33333,3,3.478e-06,0.000386444,78,0,0,,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-06 17:35:57 -0800,9b3fd34,master
2,3,Expected Size,Both,12,2.33333,3,3.473e-06,0.000385889,78,0,0,AMD Radeon Pro 5500M,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-06 17:35:57 -0800,9b3fd34,master
2,3,First One,,12,2.33333,3,3.512e-06,0.000390222,78,,,,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-06 17:35:57 -0800,9b3fd34,master
2,3,First One,,12,2.33333,3,3.485e-06,0.000387222,78,,,,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2020-12-06 17:35:57 -0800,9b3fd34,master
2,4,Knuth,CPU,12,2.8125,4,1.2159e-05,0.000759938,330,0,0,,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2020-12-06 17:35:57 -0800,9b3fd34,master
2,4,Knuth,Both,12,2.8125,4,7.661e-06,0.000478812,330,0,0,AMD Radeon Pro 5500M,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2020-12-06 17:35:57 -0800,9b3fd34,master
2,4,Most Parts,CPU,12,2.8125,4,7.422e-06,0.000463875,330,0,0,,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2020-12-06 17:35:57 -0800,9b3fd34,master
2,4,Most Parts,Both,12,2.8125,4,7.67e-06,0.000479375,330,0,0,AMD Radeon Pro 5500M,0,0,1,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2020-12-06 17:35:57 -0800,9b3fd34,master
