Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU FPS,GPU Kernels,GPU Name,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
6,2,Knuth,Both,111222,3.51562,5,8.6169e-05,0.00134639,7750,0,0,AMD Radeon Pro 5500M,0,0,1,5,26,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211112,64,2020-12-06 23:54:14 -0800,e608107,master
6,2,Most Parts,Both,111122,3.5,5,7.7789e-05,0.00121545,8081,0,0,AMD Radeon Pro 5500M,0,0,1,10,21,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211112,64,2020-12-06 23:54:14 -0800,e608107,master
6,2,Entropy,Both,111122,3.5,5,0.00015677,0.00244953,7293,0,0,AMD Radeon Pro 5500M,0,0,1,6,25,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211112,64,2020-12-06 23:54:14 -0800,e608107,master
6,2,Expected Size,Both,111122,3.5,5,0.000103192,0.00161238,7293,0,0,AMD Radeon Pro 5500M,0,0,1,6,25,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211112,64,2020-12-06 23:54:14 -0800,e608107,master
6,2,First One,,222111,3.57812,5,2.7484e-05,0.000429437,1829,,,,0,0,1,9,18,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211112,64,2020-12-06 23:54:14 -0800,e608107,master
6,3,Knuth,Both,111223,3.74348,5,0.00919713,0.0126161,62236,4675.37,43,AMD Radeon Pro 5500M,643707,0,1,13,186,501,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121132,729,2020-12-06 23:54:14 -0800,e608107,master
6,3,Most Parts,Both,111223,3.66529,5,0.00688562,0.0094453,62616,6099.67,42,AMD Radeon Pro 5500M,644436,0,1,10,242,455,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122133,729,2020-12-06 23:54:14 -0800,e608107,master
6,3,Entropy,Both,111223,3.66255,5,0.00813854,0.011164,61073,5283.5,43,AMD Radeon Pro 5500M,645165,0,1,9,244,456,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123321,729,2020-12-06 23:54:14 -0800,e608107,master
6,3,Expected Size,Both,111223,3.67215,5,0.0058257,0.00799136,65014,7037.78,41,AMD Radeon Pro 5500M,634230,0,1,7,242,459,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122113,729,2020-12-06 23:54:14 -0800,e608107,master
6,3,First One,,332211,3.97531,7,0.000625441,0.000857944,38063,,,,0,0,1,20,161,381,149,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213213,729,2020-12-06 23:54:14 -0800,e608107,master
6,4,Knuth,Both,112233,4.37866,6,0.0469805,0.0114698,288992,6875.19,323,AMD Radeon Pro 5500M,33431552,0,1,5,189,2173,1703,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221433,4096,2020-12-06 23:54:14 -0800,e608107,master
6,4,Most Parts,Both,111223,4.26758,6,0.0430973,0.0105218,302231,7448.26,321,AMD Radeon Pro 5500M,32972800,0,1,14,250,2508,1269,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123421,4096,2020-12-06 23:54:14 -0800,e608107,master
6,4,Entropy,Both,111223,4.26025,6,0.0475173,0.0116009,302090,7113.2,338,AMD Radeon Pro 5500M,32972800,0,1,12,196,2626,1233,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134214,4096,2020-12-06 23:54:14 -0800,e608107,master
6,4,Expected Size,Both,111234,4.2915,6,0.0381003,0.00930183,289777,7112.8,271,AMD Radeon Pro 5500M,32374784,0,1,6,194,2501,1385,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313422,4096,2020-12-06 23:54:14 -0800,e608107,master
6,4,First One,,443322,4.52246,8,0.0038412,0.000937794,288865,,,,0,0,1,26,320,1598,1816,308,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314122,4096,2020-12-06 23:54:14 -0800,e608107,master
6,5,Knuth,Both,112233,4.86957,6,0.247509,0.0158406,1263192,4912.94,1216,AMD Radeon Pro 5500M,603734375,0,1,7,165,3635,9865,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115324,15625,2020-12-06 23:54:14 -0800,e608107,master
6,5,Most Parts,Both,111223,4.78067,7,0.226391,0.014489,1365471,4903.02,1110,AMD Radeon Pro 5500M,595046875,0,1,17,244,4430,9418,1484,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152354,15625,2020-12-06 23:54:14 -0800,e608107,master
6,5,Entropy,Both,112233,4.7687,7,0.223639,0.0143129,1316481,4815.79,1077,AMD Radeon Pro 5500M,583531250,0,1,9,175,4361,9953,1124,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532144,15625,2020-12-06 23:54:14 -0800,e608107,master
6,5,Expected Size,Both,112233,4.77747,7,0.226832,0.0145172,1295772,4845,1099,AMD Radeon Pro 5500M,584937500,0,1,8,153,4301,10006,1154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434215,15625,2020-12-06 23:54:14 -0800,e608107,master
6,5,First One,,554432,5.05587,9,0.0177136,0.00113367,1297522,,,,0,0,1,26,368,2945,8062,3832,370,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514243,15625,2020-12-06 23:54:14 -0800,e608107,master
6,6,Knuth,Both,111234,5.31863,7,1.24339,0.0266501,4325449,2721.6,3384,AMD Radeon Pro 5500M,6350301504,0,1,7,135,3712,24441,17847,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136426,46656,2020-12-06 23:54:14 -0800,e608107,master
6,6,Most Parts,Both,112233,5.2336,8,1.29715,0.0278024,4660765,2553.29,3312,AMD Radeon Pro 5500M,6340690368,0,1,20,249,4638,26459,14483,802,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516342,46656,2020-12-06 23:54:14 -0800,e608107,master
6,6,Entropy,Both,111223,5.197,7,1.33648,0.0286454,4583084,2410.81,3222,AMD Radeon Pro 5500M,6190551360,0,1,13,188,4277,28650,13167,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112364,46656,2020-12-06 23:54:14 -0800,e608107,master
6,6,Expected Size,Both,112233,5.2117,7,1.14983,0.0246449,4443576,2761.27,3175,AMD Radeon Pro 5500M,6186678912,0,1,9,138,4216,28172,13840,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116341,46656,2020-12-06 23:54:14 -0800,e608107,master
