Pin Count,Color Count,Strategy,Solver,Initial Guess,Average Turns,Max Turns,Elapsed (s),Big Regions,FDOpt Games,FDOpt Regions,Scores,Tiny Games,Tiny Regions,Total Codewords,GPU CUDA Capability,GPU CUDA Driver Version,GPU CUDA Runtime Version,GPU Constant Memory,GPU Cores,GPU Cores/MP,GPU Global Memory,GPU L2 Cache Size,GPU Max Clock Rate MHz,GPU Memory Bus Width,GPU Memory Clock Rate MHz,GPU Multiprocessors,GPU Name,GPU Registers per block,GPU Shared Memory per MP,GPU Shared Memory per block,GPU Threads per Block,GPU Threads per MP,GPU Warp Size,Git Branch,Git Commit Date,Git Commit Hash,HW CPU Arch,HW CPU Brand String,HW CPU Cacheline Size,HW CPU L1 dCache Size,HW CPU L1 iCache Size,HW CPU L2 Cache Size,HW CPU L3 Cache Size,HW CPU Logical Count,HW CPU Physical Count,HW Memory Size,Machine Name,OS Kernel Name,OS Kernel Version,OS Product Version,OS Version String
7,2,Knuth,CUDA,1111222,4,6,0.0968018,3,120,40,33385,131,95,128,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,2,Most Parts,CUDA,1111222,3.95312,6,0.00164896,3,123,41,35705,119,93,128,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,2,Expected Size,CUDA,1111222,3.95312,6,0.00164369,3,90,30,31201,159,114,128,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,2,Entropy,CUDA,1111222,3.9375,6,0.00156738,3,101,29,30941,159,115,128,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,3,Knuth,CUDA,1112233,4.13672,5,0.00197714,3,1106,352,8430875,2395,1947,2187,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,3,Most Parts,CUDA,1111223,4.02103,6,0.00227455,4,1140,369,8459920,2256,1969,2187,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,3,Expected Size,CUDA,1112223,4.03384,5,0.00201654,4,1041,333,8279821,2377,2026,2187,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,3,Entropy,CUDA,1112223,4.02698,5,0.00201178,4,1074,344,8256099,2334,2022,2187,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,4,Knuth,CUDA,1112233,4.79974,6,0.0102429,14,8217,2731,658538021,17575,14605,16384,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
7,4,Most Parts,CUDA,1112223,4.67627,7,0.00952953,13,7761,2582,637840915,16410,14653,16384,8.6,11.7,11.7,65536,5888,128,8334737408,4194304,1755.000122,256,7001.000488,46,NVIDIA GeForce RTX 3070,65536,102400,49152,1024,1536,32,master,2022-07-16 19:01:05 -0700,531adf1,x86_64,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,64,32768,32768,262144,16777216,16,8,16695377920,Avocato,Linux,5.15.0-41-generic,Ubuntu 22.04 LTS,#44-Ubuntu SMP Wed Jun 22 14:20:53 UTC 2022
